"Row ID","ODR Reference","Data Recipient","Organisation Type","Purpose","Data Source","Data Type provided to applicant ","Legal basis for the release of personally identifiable data","Date of release"
"DRR1","ODR_2014_139a","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","This study is a timely and important attempt to discover whether existing NHS administrative data can be exploited to examine patterns of care, to benchmark access and inform service providers and commissioners about levels of service and its possible impact on place of care and death.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2014-04-02
"DRR2","ODR_2014_112","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","To improve the understanding of whether there is an association between pioglitazone exposure and bladder cancer and, if so, the magnitude of the association and how key characteristics of T2DM patients may influence it.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2014-05-01
"DRR3","ODR_2014_193","Sefton Clinical Commissioning Group","DSCRO/ CCG/ CSU","In South Sefton we have some of the highest rates of cancer incidence and mortality in spite of relatively high urgent 2 weeks rule referral rates. Though the data is generally improving we still lag behind the England average. In order to target our efforts and support of colleagues we need to understand our cancer data at a practice level. The data will then be shared across the four localities in South Sefton with GPs and with our colleagues in public health in the key areas of prevention, screening, earlier detection and recognition. We envisage that targeted work will be more effective than our current 'blanket approach to all cancers.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-05-24
"DRR4","ODR_2014_186","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","The aim of the audit is to assess the process of care and its outcomes in men diagnosed with prostate cancer in England and Wales. The principal audit questions will examine the following against the available appropriate national clinical standards:
?service delivery and organisation of care in England and Wales
?characteristics of newly-diagnosed prostate cancer, how the cancer was detected and the referral pathway
?diagnostic and staging process and planning of initial treatment
?initial treatments received 
?patient experience and health outcomes 12 months after diagnosis
?overall and disease-free survival
?feasibility of a PSA testing audit in primary care?","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-06-13
"DRR5","ODR_2014_204","University Hospital Birmingham NHS Foundation Trust","CQC Registered Health or/and Social Care provider","Audit of 5 and 10 year survival in patients treated within the Trust following surgery for colorectal cancer liver metastases.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-06-13
"DRR6","ODR_2014_208","Addenbrooke's Hospital, Cambridge University Hospitals Trust","CQC Registered Health or/and Social Care provider","A local audit of pancreatic cancer resection in the old Anglia Cancer Network area","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-06-25
"DRR7","ODR_2014_034c","London School of Hygiene & Tropical Medicine","Academic Institution","Several factors have been implicated in contributing to poor cancer outcomes and survival inequalities. They include: 
- Low awareness of cancer symptoms in the general population and among general practitioners 
- Barriers to symptomatic presentation 
- Delay in referral and diagnosis in primary and/or secondary care 
- Comorbidity precluding effective treatment 
- Sub-optimal treatment of cancer patients 

To strengthen the current evidence, we propose to study the entire clinical pathway of cancer patients: from symptomatic presentation in primary care, to diagnostic investigations and specialist referrals, to cancer treatment and patient management after diagnosis. This will be achieved using an up-to-date linkage between existing datasets containing detailed information on the cancer, its management and treatment, and on the primary care events occurring before and after the cancer diagnosis","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2014-07-16
"DRR8","ODR_2014_198","East Sussex Healthcare NHS Trust","CQC Registered Health or/and Social Care provider","Clinical audit of cancers diagnosed at early stage in five CCGs - Hastings, Eastbourne, Wealden, Rother and Lewes.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2014-07-21
"DRR9","ODR_2014_205","Quality in Health","CQC Approved National Contractor","Analysis of the CPES 2010 by  routes to diagnosis","National Cancer Registration and Analysis Service","Anonymised ","Regulation 2 (s251)",2014-07-24
"DRR10","ODR_2014_185","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","A study to improve the understanding of whether there is an association between pioglitazone exposure and bladder cancer and, if so, the magnitude of the association and how key characteristics of T2DM patients may influence it.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2014-08-01
"DRR11","ODR_2014_138","City University London","Academic Institution","This study will investigate the economic burden of cancer in England, by specifically analysing the cost of secondary care and their associations for 4 cancer types for patients diagnosed with cancer in England. The research will provide new national evidence on the direct cost of care and the economic cost of lives lost in all individuals with a diagnosis of lung, breast, bowel and prostate cancer. We will analyse the costs of care by different phases of the disease. We will estimate the geographical variation in costs across different areas of England.  Finally, we will use our estimates to forecast the future cost of cancer in the next 10 years.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2014-08-07
"DRR12","ODR_2014_125","University of Oxford","Academic Institution","The Million Women Study is a national cohort study of UK women. In 1996-2001, 1.3 million women, aged 50-64, who had been invited for breast cancer screening at centres throughout England and Scotland, were recruited into the study. All women completed a recruitment questionnaire on hormonal, anthropometric, and other personal characteristics and attended at least one routine mammographic screen which took place at recruitment into the study. The cohort has been re-surveyed at approximately 3 yearly intervals since recruitment to update information on various factors (see http://www.millionwomenstudy.org.uk for further details of the study and questionnaires). 

All participants have been flagged on the NHS central registers for incident cancer, yielding data on cancer site (coded according to ICD-10) and morphology (coded according to ICD-O). Although it has been shown that cancer diagnosis can be adequately determined from the information routinely collected in NHS central registers, linkage with the cancer registry data would afford the important benefit of a more tumour specific data on each incident case. Through data linkage to cancer registration data, the study aims to describe the relationship between reproductive, hormonal, genetic and lifestyle factors and the risk of cancers at specific sites according to key tumour characteristics. This research should not only provide information on which risk factors are associated with specific cancer subtypes but may also clarify some of the biological mechanisms underlying these associations.","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2014-08-08
